Итерация	Значение_функции
1125	52.23316808709673
1126	35.830963367849975
1127	40.14497423762731
1128	1639020816.159677
1129	30.551384482563854
1130	59.2544328651046
1131	55.23860049319376
1132	69.92102846777473
1133	25.04432863710201
1134	80.29106663314559
1135	24.09839669121816
1136	9.517273751459573
1137	16.38618828949849
1138	2.694611371469768
1139	5.544149872464551
1140	12.37018025816536
1141	75.85391184362564
1142	13.34660379065933
1143	13.618295696054792
1144	31.12494744342773
1145	67.33881238215787
1146	3.430148983658283
1147	8.80500737673292
1148	22.681781514699416
1149	51.05338702158096
1150	16.530691666993466
1151	46.620546411840955
1152	8.495876897864267
1153	72.34902245404007
1154	12.591847615611226
1155	66.49664685284905
1156	13.447077867711835
1157	50.68887999727142
1158	49.057260610831456
1159	15.731569236387653
1160	892363855.4257511
1161	59.81801165014551
1162	54.785685350139566
1163	71.10358140829436
1164	4.0298400809751564
1165	12.961874662350393
1166	5.233701435306314
1167	25.230358327639365
1168	39.37084679975568
1169	6.495983892094763
1170	5.771137883620823
1171	9.376860192808232
1172	28.94025123738681
1173	16.362475464635722
1174	6.528410732156853
1175	3.591846440562391
1176	13.030136561347133
1177	29.037725793863466
1178	52.90313367994062
1179	22.94068361491905
1180	440763716.1706992
1181	1.9775334950294647
1182	12.010656422660642
1183	9.653489904382004
1184	49.840737964211705
1185	21.892027355374136
1186	12.239733841963531
1187	21.266717648346713
1188	71.27198318277706
1189	23.952098744823175
1190	23.065686129088945
1191	9.561920752716206
1192	38.1494995682439
1193	58.95633135355156
1194	13.393066173245993
1195	80.76282084434676
1196	5.751632954404192
1197	4.307380350194947
1198	11.230849505500682
1199	37.40984997919819
1200	36.825222298396675
1201	10.954639224250597
1202	49.808100910894154
1203	31.94131622844713
1204	5.315031143052815
1205	15.589627217372884
1206	26.307251081158487
1207	23.636579677991996
1208	37.00409686084579
1209	33.86630787865482
1210	38.30179682075523
1211	33.18512858544745
1212	53.86052032783307
1213	25.997660835521724
1214	37.61988357702245
1215	35.397496463817326
1216	63.79934538325317
1217	11.43106694524295
1218	19.319766303662494
1219	12.832904096213149
1220	32.87333317647827
1221	20.311485377664198
1222	28.59335799493364
1223	20.845361663334334
1224	12.010285848592131
1225	8.595096252122563
1226	7.235681264113549
1227	6.569300182410332
1228	23.86638875852625
1229	4.7068522518196465
1230	1.254468232815091
1231	1.5411394680853432
1232	3.109467109496439
1233	5.417006314465098
1234	11.20922630058137
1235	43.840232810280796
1236	22.044673331560556
1237	7.228928044773604
1238	4.2812376898904
1239	15.116944012455711
1240	6.550427950598217
1241	4.296712190132066
1242	33.94063461367377
1243	18.784546653746922
1244	23.489796010720266
1245	2.776039589056283
1246	7.842940899652479
1247	5.3003168637956355
1248	5.83928273233386
1249	33.25395463827729
1250	7.589933711330971
1251	7.798688110439989
1252	13.141381760959426
1253	18.675762915474355
1254	69.21282979049127
1255	33.70400555665375
1256	27.29940445920755
1257	18.88097720222028
1258	22.832830231899923
1259	12.55313290927002
1260	8.970507452693326
1261	9.360882729674458
1262	27.180431100855937
1263	10.00192480218143
1264	23.23607303899402
1265	10.08359844314532
1266	1.5720710498893724
1267	39.083264133453625
1268	10.31702071047591
1269	12.098330382720743
1270	7.5360039690196885
1271	4.383709010249861
1272	9.638584149167148
1273	4.312327975995991
1274	1.0894051035638903
1275	9.479853286209504
1276	10.368490847188381
1277	14.986218090760719
1278	1.7199738228128405
1279	5.977740672325478
1280	3.9294081137547168
1281	5.957916473082196
1282	2.4228514019756
1283	3.5113406434044325
1284	0.29634337345265566
1285	2.6367901996181615
1286	1.612194431899239
1287	2.4915220493473544
1288	1.4998916433328813
1289	8.027301124801422
1290	0.418131478021008
1291	1.050355185356665
1292	1.1736711051226578
1293	0.536650004906671
1294	3.5622654663241993
1295	2.617116895095855
1296	2.7961629889047694
1297	2.882802617532557
1298	1.23311338400672
1299	2.43315958010291
1300	2.085879701107409
1301	1.7304849394158643
1302	2.8258361506771292
1303	2.613590512374268
1304	10.79161688785548
1305	9.451118612574941
1306	5.322472726172594
1307	4.283375828378741
1308	5.7680648010603655
1309	6.174579169571663
1310	4.549990480980516
1311	7.754193181860355
1312	6.416566619990334
1313	3.470853905428318
1314	5.7855374982788454
1315	4.484246540518102
1316	5.890091701189818
1317	5.282670620967904
1318	4.232630937829635
1319	11.118263017492852
1320	7.254140662599506
